Holdings details

S&P 500 Growth ETF (VOOG)


Equity,as of 11/30/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2208073,Copart Inc,CPRT,0.19%,Diversified Support Services,US,---,"$27,345,685.32","431,388"
,BZ8VJQ8,Vistra Corp,VST,0.19%,Independent Power Producers & Energy Traders,US,---,"$27,080,252.64","169,421"
,B65LWX6,O'Reilly Automotive Inc,ORLY,0.18%,Automotive Retail,US,---,"$25,979,568.34","20,897"
,2746711,Ross Stores Inc,ROST,0.18%,Apparel Retail,US,---,"$25,452,574.76","164,348"
,2318024,EOG Resources Inc,EOG,0.17%,Oil & Gas Exploration & Production,US,---,"$24,637,641.84","184,884"
,2108601,Boeing Co/The,BA,0.17%,Aerospace & Defense,US,---,"$24,613,924.00","158,350"
,2250687,DR Horton Inc,DHI,0.17%,Homebuilding,US,---,"$24,406,431.90","144,605"
,2145084,Amphenol Corp,APH,0.17%,Electronic Components,US,---,"$24,137,163.35","332,239"
,2065308,Automatic Data Processing Inc,ADP,0.17%,Human Resource & Employment Services,US,---,"$24,049,807.08","78,356"
,B5BKPQ4,Motorola Solutions Inc,MSI,0.17%,Communications Equipment,US,---,"$23,848,182.50","47,725"
,2730190,Regeneron Pharmaceuticals Inc,REGN,0.16%,Biotechnology,US,---,"$23,538,152.50","31,375"
,BDT5S35,Axon Enterprise Inc,AXON,0.16%,Aerospace & Defense,US,---,"$22,902,384.00","35,400"
,2804211,Sherwin-Williams Co/The,SHW,0.16%,Specialty Chemicals,US,---,"$22,716,973.60","57,164"
,B55PZY3,Targa Resources Corp,TRGP,0.15%,Oil & Gas Storage & Transportation,US,---,"$22,087,894.50","108,115"
,2665861,PACCAR Inc,PCAR,0.15%,Construction Machinery & Heavy Transportation Equipment,US,---,"$22,053,096.00","188,488"
,BVLZX12,Equinix Inc,EQIX,0.15%,Data Center REITs,US,---,"$21,596,485.92","22,004"
,B505PN7,NXP Semiconductors NV,NXPI,0.15%,Semiconductors,US,---,"$21,590,827.47","94,131"
,B95WG16,Zoetis Inc,ZTS,0.15%,Pharmaceuticals,US,---,"$21,504,752.25","122,709"
,BLP1HW5,Aon PLC,AON,0.15%,Insurance Brokers,US,---,"$21,374,560.14","54,591"
,2197137,Cintas Corp,CTAS,0.15%,Diversified Support Services,US,---,"$20,989,664.19","92,961"
,2656423,Old Dominion Freight Line Inc,ODFL,0.15%,Cargo Ground Transportation,US,---,"$20,935,543.46","92,989"
