Holdings details

S&P 500 Growth ETF (VOOG)


Equity,as of 10/31/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2089212,AMETEK Inc,AME,0.07%,Electrical Components & Equipment,US,---,"$9,793,472.78","53,417"
,B1YLC43,Discover Financial Services,DFS,0.07%,Consumer Finance,US,---,"$9,672,440.95","65,165"
,B0BV2M7,Builders FirstSource Inc,BLDR,0.07%,Building Products,US,---,"$9,593,772.20","55,973"
,B748CK2,Expedia Group Inc,EXPE,0.07%,"Hotels, Resorts & Cruise Lines",US,---,"$9,364,844.72","59,912"
,2692687,Brown & Brown Inc,BRO,0.07%,Insurance Brokers,US,---,"$9,287,218.56","88,754"
,2812452,Simon Property Group Inc,SPG,0.07%,Retail REITs,US,---,"$9,189,811.68","54,339"
,2459202,IDEXX Laboratories Inc,IDXX,0.07%,Health Care Equipment,US,---,"$9,021,009.48","22,169"
,BHKD3S6,Dell Technologies Inc,DELL,0.07%,"Technology Hardware, Storage & Peripherals",US,---,"$9,013,492.41","72,907"
,BVFTF03,Iron Mountain Inc,IRM,0.07%,Other Specialized REITs,US,---,"$8,895,692.08","71,896"
,B0T7YX2,Live Nation Entertainment Inc,LYV,0.07%,Movies & Entertainment,US,---,"$8,812,793.62","75,233"
,2674458,Paychex Inc,PAYX,0.07%,Human Resource & Employment Services,US,---,"$8,584,539.29","61,613"
,BRC3N84,TE Connectivity PLC,TEL,0.06%,Electronic Manufacturing Services,US,---,"$8,368,296.30","56,765"
,B0796X4,Dexcom Inc,DXCM,0.06%,Health Care Equipment,US,---,"$8,279,144.64","117,468"
,2098876,Yum! Brands Inc,YUM,0.06%,Restaurants,US,---,"$8,119,984.44","61,909"
,B3Z5T14,Garmin Ltd,GRMN,0.06%,Consumer Electronics,US,---,"$7,917,536.95","39,917"
,2310194,Electronic Arts Inc,EA,0.06%,Interactive Home Entertainment,US,---,"$7,669,063.15","50,839"
,2045623,ANSYS Inc,ANSS,0.06%,Application Software,US,---,"$7,663,886.79","23,919"
,2523044,Carnival Corp,CCL,0.06%,"Hotels, Resorts & Cruise Lines",US,---,"$7,583,158.00","344,689"
,BK531S8,Otis Worldwide Corp,OTIS,0.06%,Industrial Machinery & Supplies & Components,US,---,"$7,342,119.40","74,767"
,2567116,Edwards Lifesciences Corp,EW,0.05%,Health Care Equipment,US,---,"$7,178,848.31","107,131"
,BRC3N73,Super Micro Computer Inc,SMCI,0.05%,"Technology Hardware, Storage & Peripherals",US,---,"$7,044,852.88","242,008"
,BZ6VT82,Charter Communications Inc,CHTR,0.05%,Cable & Satellite,US,---,"$7,028,544.94","21,454"
,2754060,Rockwell Automation Inc,ROK,0.05%,Electrical Components & Equipment,US,---,"$6,984,334.77","26,187"
,B5834C5,Cboe Global Markets Inc,CBOE,0.05%,Financial Exchanges & Data,US,---,"$6,876,313.29","32,197"
,B1VP7R6,Broadridge Financial Solutions Inc,BR,0.05%,Data Processing & Outsourced Services,US,---,"$6,745,411.40","31,990"
,B05MZT4,Celanese Corp,CE,0.05%,Specialty Chemicals,US,---,"$6,582,562.35","52,255"
,BDR73G1,IQVIA Holdings Inc,IQV,0.05%,Life Sciences Tools & Services,US,---,"$6,515,026.28","31,654"
,B95N910,PTC Inc,PTC,0.05%,Application Software,US,---,"$6,420,016.53","34,641"
,2583576,ON Semiconductor Corp,ON,0.05%,Semiconductors,US,---,"$6,384,772.73","90,577"
,2122117,Take-Two Interactive Software Inc,TTWO,0.05%,Interactive Home Entertainment,US,---,"$6,331,499.72","39,151"
,2262864,CoStar Group Inc,CSGP,0.05%,Real Estate Services,US,---,"$6,164,002.78","84,682"
,2319146,Equifax Inc,EFX,0.05%,Research & Consulting Services,US,---,"$6,146,343.84","23,192"
